Wavelength;Abs_001;Std.Dev_001;Abs_002;Std.Dev_002;Abs_004;Std.Dev_004;Abs_006;Std.Dev_006;Abs_008;Std.Dev_008;Abs_01;Std.Dev_01;Abs_03;Std.Dev_03;Abs_05;Std.Dev_05;Abs_08;Std.Dev_08;Abs_1;Std.Dev_1;Abs_2;Std.Dev_2;Abs_4;Std.Dev_4;Abs_6;Std.Dev_6;Abs_8;Std.Dev_8;Abs_acida;Std.Dev_acida;Abs_basica;Std.Dev_basica
736;2,68E-03;4,70E-05;2,46E-03;4,17E-05;5,05E-03;5,86E-05;1,51E-02;5,53E-05;3,79E-03;5,58E-05;6,02E-03;6,85E-05;4,43E-03;6,49E-05;5,14E-03;5,43E-05;4,69E-03;5,77E-05;5,47E-03;4,25E-05;7,39E-03;4,40E-05;1,23E-02;5,62E-05;1,31E-02;5,74E-05;1,23E-02;7,63E-05;1,42E-02;7,69E-05;7,06E-03;5,19E-05
737;2,65E-03;5,04E-05;2,38E-03;5,96E-05;4,99E-03;5,92E-05;1,53E-02;5,58E-05;3,71E-03;8,60E-05;6,00E-03;4,77E-05;4,37E-03;5,37E-05;5,15E-03;6,39E-05;4,54E-03;5,45E-05;5,37E-03;4,19E-05;7,30E-03;5,65E-05;1,23E-02;6,33E-05;1,29E-02;5,11E-05;1,20E-02;8,60E-05;1,43E-02;8,33E-05;6,87E-03;4,78E-05
738;2,71E-03;6,93E-05;2,40E-03;6,32E-05;5,07E-03;7,14E-05;1,54E-02;7,42E-05;3,79E-03;7,78E-05;6,15E-03;6,17E-05;4,36E-03;6,53E-05;5,13E-03;7,61E-05;4,62E-03;6,15E-05;5,54E-03;6,22E-05;7,47E-03;6,85E-05;1,23E-02;6,98E-05;1,30E-02;6,14E-05;1,21E-02;8,78E-05;1,45E-02;8,36E-05;6,94E-03;5,54E-05
739;2,51E-03;6,46E-05;2,35E-03;5,58E-05;4,94E-03;6,99E-05;1,51E-02;6,62E-05;3,53E-03;6,89E-05;5,93E-03;5,43E-05;4,21E-03;5,91E-05;5,03E-03;6,37E-05;4,48E-03;6,01E-05;5,39E-03;6,34E-05;7,28E-03;5,84E-05;1,21E-02;5,43E-05;1,29E-02;5,53E-05;1,20E-02;8,28E-05;1,42E-02;7,92E-05;6,66E-03;4,47E-05
740;2,64E-03;6,65E-05;2,32E-03;6,88E-05;5,10E-03;6,17E-05;1,55E-02;6,07E-05;3,55E-03;8,63E-05;6,09E-03;6,37E-05;4,28E-03;6,41E-05;5,02E-03;6,02E-05;4,52E-03;9,94E-05;5,44E-03;6,73E-05;7,45E-03;6,72E-05;1,24E-02;5,43E-05;1,28E-02;7,24E-05;1,19E-02;9,62E-05;1,45E-02;1,22E-04;6,73E-03;5,99E-05
741;2,63E-03;8,29E-05;2,32E-03;7,89E-05;5,12E-03;8,57E-05;1,56E-02;8,95E-05;3,46E-03;8,53E-05;6,13E-03;8,18E-05;4,25E-03;7,69E-05;4,93E-03;7,82E-05;4,50E-03;7,86E-05;5,47E-03;7,63E-05;7,52E-03;7,50E-05;1,25E-02;7,69E-05;1,27E-02;9,20E-05;1,18E-02;8,73E-05;1,47E-02;1,21E-04;6,67E-03;8,38E-05
742;2,60E-03;6,10E-05;2,27E-03;6,26E-05;5,02E-03;5,36E-05;1,54E-02;8,25E-05;3,47E-03;6,12E-05;6,12E-03;7,58E-05;4,16E-03;5,36E-05;5,05E-03;6,51E-05;4,51E-03;4,95E-05;5,53E-03;6,02E-05;7,35E-03;5,98E-05;1,23E-02;5,54E-05;1,28E-02;5,87E-05;1,19E-02;6,65E-05;1,46E-02;9,79E-05;6,65E-03;6,18E-05
743;2,54E-03;7,65E-05;2,22E-03;6,47E-05;5,01E-03;6,49E-05;1,56E-02;6,91E-05;3,42E-03;6,82E-05;6,06E-03;7,16E-05;4,17E-03;6,79E-05;5,02E-03;8,66E-05;4,44E-03;5,55E-05;5,53E-03;6,78E-05;7,43E-03;5,95E-05;1,24E-02;5,77E-05;1,26E-02;6,55E-05;1,18E-02;1,06E-04;1,46E-02;9,67E-05;6,53E-03;5,91E-05
744;2,57E-03;8,90E-05;2,25E-03;7,69E-05;5,07E-03;8,00E-05;1,55E-02;9,95E-05;3,37E-03;8,27E-05;6,05E-03;8,25E-05;4,17E-03;6,99E-05;5,00E-03;7,90E-05;4,48E-03;7,50E-05;5,56E-03;7,73E-05;7,42E-03;7,23E-05;1,23E-02;7,59E-05;1,27E-02;8,93E-05;1,18E-02;1,15E-04;1,46E-02;1,19E-04;6,56E-03;7,31E-05
745;2,46E-03;5,66E-05;2,09E-03;6,47E-05;4,93E-03;5,79E-05;1,54E-02;8,83E-05;3,15E-03;6,71E-05;5,97E-03;5,74E-05;3,92E-03;5,88E-05;4,82E-03;7,33E-05;4,34E-03;6,62E-05;5,37E-03;6,31E-05;7,42E-03;6,06E-05;1,21E-02;5,70E-05;1,27E-02;7,39E-05;1,16E-02;9,78E-05;1,45E-02;8,08E-05;6,38E-03;5,19E-05
746;2,47E-03;4,82E-05;2,12E-03;6,13E-05;5,00E-03;5,34E-05;1,56E-02;6,48E-05;3,25E-03;6,72E-05;6,05E-03;5,63E-05;3,94E-03;6,37E-05;4,87E-03;6,32E-05;4,33E-03;5,75E-05;5,42E-03;5,13E-05;7,37E-03;6,67E-05;1,23E-02;5,23E-05;1,26E-02;7,85E-05;1,17E-02;7,73E-05;1,46E-02;7,18E-05;6,38E-03;4,71E-05
747;2,53E-03;4,66E-05;2,26E-03;6,20E-05;4,98E-03;5,54E-05;1,55E-02;6,50E-05;3,22E-03;5,77E-05;6,06E-03;5,84E-05;3,91E-03;6,37E-05;4,83E-03;5,32E-05;4,40E-03;6,21E-05;5,42E-03;6,03E-05;7,35E-03;5,02E-05;1,23E-02;6,38E-05;1,25E-02;6,75E-05;1,16E-02;7,61E-05;1,47E-02;8,39E-05;6,34E-03;5,82E-05
